plant,NERC,EHA_ID,EIA_ID,NID_ID,lat,lon,state,county,HUC,bal_auth,mode,n_units,CH_MW,CH_MWh
Hodenpyl,RFC,hc1604_p01,1708,MI00174,44.363,-85.82,MI,Wexford,40601030308,MISO,Run-of-river,2,17,43939.71
Tippy,RFC,hc1590_p01,1698,MI00200,44.2583,-85.9383,MI,Manistee,40601030701,MISO,Run-of-river,3,20.1,60533.53
Boyne River,RFC,hc7040_p01,NA,MI00515,45.1958,-84.952,MI,Charlevoix,40601050205,NA,NA,1,0.25,1260
Elk Rapids,RFC,hc1770_p01,4248,MI00517,44.9,-85.4,MI,Antrim,40601050405,NA,Run-of-river,2,0.75,NA
Saint Marys Falls,MRO,hc0265_p01,1865,MI00650,46.506206,-84.349285,MI,Chippewa,40700010101,MISO,NA,5,23.7,159830.92
Edison Sault,RFC,hc0265_p02,1751,MI00650,46.497388,-84.332086,MI,Chippewa,40700010101,MISO,NA,73,41.8,177135.94
Cheboygan,RFC,hc1986_p01,50461,MI00520,45.65,-84.45,MI,Cheboygan,40700040404,MISO,NA,1,1.5,8847.1
Kleber,RFC,hc2095_p01,1871,MI00546,45.4,-84.3333,MI,Cheboygan,40700050213,MISO,Run-of-river,4,1.8,6374.18
Alverno,RFC,hc7478_p01,NA,MI00521,45.5517,-84.395,MI,Cheboygan,40700050304,NA,Run-of-river/Peaking,2,1.3,3800
Hillman,RFC,hc1450_p01,1688,MI00173,45.0615,-83.9031,MI,Montmorency,40700060309,NA,Run-of-river,1,0.25,1150
Ninth Street,RFC,hc1447_p01,54342,MI00188,45.0719,-83.4371,MI,Alpena,40700060605,MISO,Run-of-river,3,1.2,6914.97
Four Mile,RFC,hc1448_p01,54341,MI00170,45.0927,-83.5026,MI,Alpena,40700060605,MISO,Run-of-river,4,2,9917.44
Norway Point,RFC,hc1449_p01,54340,MI00189,45.1019,-83.5192,MI,Alpena,40700060605,MISO,Run-of-river,2,4,15444.58
Mio,RFC,hc1483_p01,1714,MI00186,44.6609,-84.1317,MI,Oscoda,40700070502,MISO,Run-of-river,2,5,14398.47
