EIA_ID,plant,state,bal_auth,original 10k bus,capacity,new bus
54249,Smith Creek,ID,BPAT,74266,38.1,bus_74053
54267,Koma Kulshan,WA,PSEI,11037,12,bus_10228
54306,Wilson Lake Hydroelectric Project,ID,IPCO,74322,8.4,bus_50196
54514,Blind Canyon Hydro,ID,IPCO,74333,1.3,bus_74104
54524,Horseshoe Bend Hydro Partners,ID,IPCO,74220,9.4,bus_74001
54554,Spicer Meadow Project,CA,CISO,23272,5.9,bus_23060
54555,Collierville Powerhouse,CA,CISO,23423,253,bus_23054
54558,Hazelton B Hydro,ID,IPCO,74324,7.6,bus_50196
54721,Reregulating,OR,PACW,13663,19.6,bus_10093
56498,Mora Drop Hydroelectric Project,ID,IPCO,74228,1.7,bus_74001
56499,Tiber,MT,WAUW,77294,7.5,bus_74132
56694,Russell D Smith,WA,BPAT,10811,6.1,bus_13504
56695,Summer Falls Power Plant,WA,AVA,10902,92,bus_10558
56696,Eltopia Branch Canal 4.6,WA,BPAT,10811,2.2,bus_13504
56697,Potholes East Canal 66.0,WA,BPAT,10811,2.3,bus_13504
56698,Dry Falls Dam (Main Canal Headworks),WA,AVA,11047,26.8,bus_10558
57496,Tieton,WA,PACW,10966,13.8,bus_10228
840,Dworshak,ID,BPAT,74276,465,bus_13446
851,Albeni Falls,ID,BPAT,74301,42,bus_74235
2203,Hungry Horse,MT,BPAT,77223,428,bus_74235
3074,Big Cliff,OR,BPAT,13488,18,bus_10093
3075,Bonneville,OR,BPAT,13669,1162,bus_10093
3076,Cougar,OR,BPAT,13533,26,bus_10093
3077,Detroit,OR,BPAT,13488,100,bus_10093
3078,Dexter,OR,BPAT,13583,15,bus_13504
3080,Green Peter,OR,BPAT,13650,80,bus_10093
3081,Hills Creek,OR,BPAT,13513,30,bus_10093
3082,John Day,OR,BPAT,13499,2160,bus_13504
3083,Lookout Point,OR,BPAT,13583,120,bus_13504
3084,McNary,OR,BPAT,13475,990.5,bus_13504
3883,Rocky Reach,WA,CHPD,10710,1299.6,bus_11016
3886,Wells,WA,DOPD,11077,774,bus_10750
3887,Priest Rapids,WA,BPAT,10683,955.6,bus_13504
3888,Wanapum,WA,GCPD,10908,1098,bus_13504
3895,The Dalles,OR,BPAT,13625,1819.7,bus_13504
3921,Chief Joseph,WA,BPAT,10750,2456.2,bus_10750
3925,Ice Harbor,WA,BPAT,10847,603,bus_13504
3926,Little Goose,WA,BPAT,10879,810,bus_13446
3927,Lower Monumental,WA,BPAT,10944,810,bus_13504
6163,Grand Coulee,WA,BPAT,11014,6809,bus_11016
6174,Lost Creek,OR,PACW,13655,49,bus_13366
6175,Lower Granite,WA,BPAT,10829,810,bus_13446
6200,Rock Island,WA,CHPD,10722,629.4,bus_10750
6552,Foster,OR,BPAT,13653,20,bus_10093
